NAME	CHR	BEG	END	CLASS	F:M SLOPE	F10	F11	F12	U13	F14A	U14A	F14B	F14B_r2	F14C	F14C_r2	F14D	U14D	M10	M11	M12	M13	M14A	M14A_r2	M14B	M14B_r2	M14C	M14C_r2	M14D	M14D_r2	w1_F10	w1_F11	w1_F12	w1_U13	w1_F14A	w1_U14A	w1_F14B	w1_F14B_r2	w1_F14C	w1_F14C_r2	w1_F14D	w1_U14D	w1_M10	w1_M11	w1_M12	w1_M13	w1_M14A	w1_M14A_r2	w1_M14B	w1_M14B_r2	w1_M14C	w1_M14C_r2	w1_M14D	w1_M14D_r2	cas_F10	cas_F11	cas_F12	cas_U13	cas_F14A	cas_U14A	cas_F14B	cas_F14B_r2	cas_F14C	cas_F14C_r2	cas_F14D	cas_U14D	cas_M10	cas_M11	cas_M12	cas_M13	cas_M14A	cas_M14A_r2	cas_M14B	cas_M14B_r2	cas_M14C	cas_M14C_r2	cas_M14D	cas_M14D_r2
bip1	3L	8047432	8051811	mat	1.284234049	70.41	37.42	26.16	3.54	1.03	0.59	0.36	0.87	0.68	0.94	1.32	1.03	57.02	28.27	12.14	2.24	1.09	0.89	0.55	1.09	0.87	0.87	0.71	1.61	70.41	37.42	26.16	0	0	0	0	0	0	0	0	0	57.02	28.27	12.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bip2	4	480507	487450	mat	0.956625426	42.36	11.14	64.71	41.84	50.87	34.95	13.53	57.84	31.04	68.45	69.16	67.33	57.76	8.42	38.44	70.73	42.03	37.72	14.91	49.75	38.11	62.41	33	42.44																																																
Bj1	3L	5923361	5925873	mat	1.012340364	342.41	357.51	368.47	377.1	436.07	407.88	428.82	544.75	550.79	588.09	533.62	568.26	310.93	406.12	368.4	378.26	454.27	522.4	431.74	505.13	495.44	546.21	513.62	411.21	342.41	357.51	366.36	367.04	426.34	391.09	400.13	522.24	549.12	536.67	450.89	485.17	310.93	406.12	368.4	377.37	446.62	512.77	410.48	490.78	430.51	508.61	424.17	335.92	0	0	2.11	10.06	9.73	16.79	28.69	22.51	1.67	51.42	82.73	83.09	0	0	0	0.89	7.65	9.63	21.26	14.35	64.93	37.6	89.45	75.29
Bka	2L	9895288	9896104	mat	1.043740902	39.9	40.79	41.2	41.03	33.22	31.99	33.94	25.89	34.06	25.43	49.15	39.68	42	36.85	41.69	32.78	31.67	36.56	29.16	26.93	43.18	29.11	39.27	57.24	39.9	40.79	39.74	41.03	33.22	31.7	33.59	25.89	26.18	18.87	34.43	25.76	42	36.85	41.69	32.78	31.67	36.25	26.57	26.49	26.91	20.3	23.73	29.91	0	0	1.46	0	0	0.29	0.35	0	7.88	6.56	14.72	13.92	0	0	0	0	0	0.31	2.59	0.44	16.27	8.81	15.54	27.33
bl	2R	16475009	16494359	matzyg	1.093354955	73.33	79.99	84.27	101.93	131.45	165.94	279.11	319.11	477.84	443.72	545.19	534.94	76.73	90.04	89.23	91.54	133.4	165.25	292.95	215.94	499.33	357.88	372.09	380.69	73.33	0	84.27	95.81	121.34	145.59	231.88	259.92	398.83	413.81	466.77	459.05	76.73	0	87.74	91.54	119.17	150.61	172.46	178.92	446.44	285.48	289.94	328.09	0	0	0	6.12	10.11	20.35	47.23	59.19	79.01	29.91	78.42	75.89	0	0	1.49	0	14.23	14.64	120.49	37.02	52.89	72.4	82.15	52.6
Blimp-1	3L	5624082	5642049	zyg	1.074573252	0	0	0.04	0	0.03	0.02	0.15	0.64	20.9	18.53	22.65	40.49	0	0	0	0	0.02	0.05	0.16	0.07	16.57	12.39	23.14	15.8	0	0	0	0	0	0	0	0	11.03	9.71	10.32	20.25	0	0	0	0	0	0	0	0	8.57	6.5	13.62	9.21	0	0	0	0	0	0	0	0	9.87	8.82	12.33	20.25	0	0	0	0	0	0	0	0	8	5.89	9.52	6.59
blos1	2R	10488768	10489515	mat	0.922623879	22.77	24.33	18.45	19.95	11.28	9.3	10.63	6.86	13.27	13.37	17.7	15.2	23.04	23.53	24.58	18.12	11.35	11.16	7.86	9.93	19.69	11.45	18.63	21.79																																																
blos2	3L	11054670	11055315	mat	1.012427007	25.34	22.84	29	41.76	29.55	35.34	28.28	38.35	29.89	34.38	26.21	24.64	25.81	20.51	28.47	31.05	30.32	28.06	37.83	33.07	28.02	34.32	24.96	30.42																																																
blos3	3L	18863353	18863997	mat	0.935715995	16.36	18.36	24.09	25.65	23.14	37.9	19.52	25.42	23.11	24.55	32.52	26.53	22.74	9.69	22.8	24.17	24.43	21.85	21.88	22.48	35.37	26.13	23.01	29.84	0	18.36	0	25.65	23.14	37.9	19.52	25.42	0	24.55	32.52	0	22.74	0	0	0	24.43	21.85	21.88	0	29.93	0	21.48	25.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.44	0	1.53	4.59
blos4	3L	10872193	10873299	mat	1.004542971	25.15	19.64	30.87	27.99	33.8	34.68	19.66	27.59	6.23	10.4	11.59	8.2	30.05	10.74	28.01	33.8	28.52	30.68	17.2	32.64	10.02	11.35	7.01	8.91																																																
blot	3L	17389123	17414612	matzyg	0.994600066	98.3	60.91	71.25	26.36	4.36	1.97	3.7	7.82	70.2	50.36	103.03	110.37	89.23	65.17	58.3	34.31	4.34	4.73	6.72	3.2	81.94	47.98	105.11	68.53	98.3	60.91	71.25	0	0	0	0	0	25.07	27.47	71.33	44.15	89.23	65.17	58.3	34.31	0	0	0	0	40.97	0	45.99	28.55	0	0	0	0	0	0	0	0	45.13	22.89	31.7	66.22	0	0	0	0	0	0	0	0	40.97	0	59.12	39.98
blow	2R	3467992	3471727	zyg	1.408847229	0.19	0.24	0	0.19	0.1	0	0.06	0	1	0.37	2.24	4.68	0.1	0.15	0.04	0.34	0.18	0.05	0.02	0.13	0.74	0.23	1.52	2.44																																																
blp	3R	11759585	11760668	mat	1.004988589	34.15	27.93	35.72	30.89	12.38	8.38	9.23	7.67	6.43	5.75	8.94	8.89	35.86	28.33	27.36	31.91	14.97	12.09	7.01	12.13	11.42	8.58	10.91	11.7																																																
blue	3L	14036785	14042992	zyg	0.873024458	1.25	1.44	1.89	1.13	1.7	0.72	0.92	2.65	7.31	8.25	11.91	16.93	2.28	1.7	1.07	1.43	1.1	1.52	1.71	1.46	10.54	8.06	11.56	7.51	0	0	1.89	0	0	0	0	2.47	4.59	4.71	5.01	7.58	2.28	0	0	0	0	0	0	1.46	4.89	5.73	11.15	5.22	0	0	0	0	0	0	0	0.18	2.72	3.54	6.9	9.35	0	0	0	0	0	0	0	0	5.65	2.33	0.41	2.29
blw	2R	18686558	18689691	mat	0.896488955	842.41	949.24	714.44	456.04	217.53	223.41	290.21	248.88	237.31	230.41	183.71	216.96	734.07	1193.1	759.56	578.36	283.18	284.9	210.09	251.97	200.29	252.88	223.44	190.1	841.42	949.24	712	455.31	208.83	214.71	283.85	239.27	204.81	195.53	136.06	186.08	732.93	1191.3	757.37	577.35	282.02	278.9	201.73	250.44	152.05	228.05	172.59	128.36	0.99	0	2.44	0.73	8.7	8.7	6.36	9.61	32.5	34.88	47.65	30.88	1.14	1.8	2.19	1.01	1.16	6	8.36	1.53	48.24	24.83	50.85	61.74
BM-40-SPARC	3R	22694953	22697738	matzyg	0.76177002	0.55	1.33	0.35	0.36	0.64	0.44	0.78	0.67	0.69	0.69	1.19	2.21	0.96	1.18	0.47	0.21	0.38	0.89	0.24	0.84	1.35	1.33	1.71	1.05																																																
Bmcp	3L	11714019	11716425	mat	0.960746246	36.12	38.78	41.53	24.19	2.86	1.64	2.03	1.52	3.33	1.33	4.41	4.23	43.18	38.05	38.28	25.99	6.41	3.78	1.02	2.47	2.63	1.28	3.63	2.75																																																
bmm	3L	14769595	14779523	mat	1.009991555	53.97	43.64	75.67	92.68	108.3	76.84	82.15	115.83	70.37	160.63	60.25	63.36	71.55	38.75	65.11	84.25	106.69	93.85	92.09	117.32	53.03	119.78	61.26	35.64	53.97	43.64	75.27	87.13	92.73	58.03	52.77	68.51	43.22	100.04	34.11	27.48	71.55	38.75	64.81	79.82	82.61	68.41	54.21	89.28	24.53	61.64	34.26	22.68	0	0	0.4	5.55	15.57	18.81	29.38	47.32	27.15	60.59	26.14	35.88	0	0	0.3	4.43	24.08	25.44	37.88	28.04	28.5	58.14	27	12.96
bnb	X	18688540	18691712	zyg	1.54367515	0	0	19.29	70.06	228.1	214.84	795.98	795.61	1864.77	1692.96	1670.99	1087.55	0	0	14.06	44.34	159.05	207.98	447.58	276.18	1004.92	834.33	1266.3	773.57																																																
bnk	3R	27018945	27020517	zyg	0.97095989	5.44	42.77	98	393.68	773.56	979.14	1402.23	918.3	34.6	178	7.97	6.54	8.67	54.37	113.79	265.13	931.37	868.02	1378.78	1060.6	8.74	177.84	15.54	7.68																																																
bnl	3R	15619794	15662539	zyg	1.089676425	0.13	0.02	0.02	0	0.06	0.01	0.07	0	0.28	0.35	0.83	0.84	0	0	0	0	0	0	0.09	0.06	0.28	0.1	0.75	0.54																																																
BobA	3L	14938598	14939212	zyg	0.824587762	1.45	15.52	66.12	115.63	46.49	117.69	45.53	55.74	228.38	191.77	457.72	320.77	9.54	10.09	79.49	105.57	88.74	70.67	71.93	114.16	411.83	169.27	422.95	509.11																																																
boca	2R	3453374	3454240	mat	1.014012383	68.39	104.95	70.67	103.56	90.39	124.63	112.99	89.76	100	86.22	87.49	85.13	62.57	100.2	83.77	76.89	94.18	97.12	109.18	96.3	91.51	83.01	103.8	104.54																																																
bocksbeutel	3R	5415189	5416709	matzyg	0.984585787	45.85	37.27	29.04	24.77	17.38	19.88	23.04	22.6	53.73	50.48	64.95	60.78	41.63	32.77	26.63	20.18	16.18	16.24	22.34	19.04	61.69	51.17	68.27	62.04	45.85	37.27	28.73	24.3	17.06	17.39	19.07	18.36	34.92	35.63	39.66	33.45	41.63	32.77	26.63	20.18	12.47	15.88	18.56	17.77	42.02	34.01	40.79	33.9	0	0	0.31	0.47	0.32	2.48	3.97	4.24	18.81	14.85	25.29	27.33	0	0	0	0	3.71	0.36	3.78	1.27	19.67	17.16	27.48	28.14
boi	X	2338196	2364036	mat	1.087776597	54.56	48.97	34.82	9.26	3.2	1.89	1.8	2.4	4.86	2.81	10.6	6.43	43.43	53.5	23.4	12.76	3.03	3.29	1.41	2.54	5.81	2.6	6.18	5.46	54.56	48.97	34.82	9.26	2.82	1.89	0	1.64	2.07	1.56	5.75	6.43	43.43	53.5	23.4	12.76	3.03	3.29	0	2.54	5.81	2.6	6.18	5.46	0	0	0	0	0.38	0	0	0.76	2.79	1.25	4.85	0	0	0	0	0	0	0	0	0	0	0	0	0
bol	3L	9094740	9123452	mat	0.981452751	17.74	25.17	25.63	27.49	22.81	23.69	14.64	22.33	5.29	13.8	3.27	7.45	20.03	21.5	22.63	27.7	28.78	20.52	13.7	27.96	3.29	11.75	3.75	2.6	17.74	25.17	25.63	27.49	22.81	23.69	14.64	22.33	3.53	13.8	2.38	4.47	20.03	21.5	22.63	27.7	28.78	20.52	13.7	27.96	0	11.75	2.39	0	0	0	0	0	0	0	0	0	1.76	0	0.89	2.98	0	0	0	0	0	0	0	0	0	0	1.36	0
boly	2R	4253053	4254165	zyg	1.35659411	0	0	0	0	0	0	0.05	0	0.46	0.11	0.65	1.88	0	0	0	0	0.04	0	0	0	0.39	0.19	0.05	0.66																																																
bon	3R	16418880	16438262	mat	0.904607086	87.42	78.75	82.92	20.69	5.24	2.53	2.92	6.11	24.14	28.91	29.27	37.17	87.01	109.21	63.04	37.67	6.46	6.23	3.53	5.01	18.6	22.22	24.66	15.84	87.22	78.75	82.92	20.04	5.24	2.25	2.64	5.14	12.61	16.99	15.05	18.5	87.01	109.21	63.04	37.67	6.14	5.44	2.65	4.76	10.81	13.73	11.53	7.73	0.2	0	0	0.65	0	0.28	0.28	0.97	11.53	11.92	14.22	18.67	0	0	0	0	0.32	0.79	0.88	0.25	7.79	8.49	13.13	8.11
bond	3R	18380258	18382222		2.265486726	0	0	0.08	0.25	0.08	0.1	0.07	0.12	0.03	0	0.03	0	0	0	0.07	0.08	0	0.11	0	0	0	0.07	0	0																																																
bonsai	2R	18525276	18526373	matzyg	0.977130057	91.98	68.9	59.27	49.16	18.03	24.15	21.59	23.12	63.14	40.75	74.81	67.86	97.8	50.35	63.23	35.33	19.74	22.18	18.33	22.43	86	43.01	64.61	90.58	91.98	68.9	59.27	48.84	18.03	24.15	19.99	22.51	46.61	26.01	50.12	41.33	97.3	49.93	63.23	35.33	19.2	21.48	15.91	20.67	52.47	34.49	36.69	49.63	0	0	0	0.32	0	0	1.6	0.61	16.53	14.74	24.69	26.53	0.5	0.42	0	0	0.54	0.7	2.42	1.76	33.53	8.52	27.92	40.95
bor	3R	12087071	12089810	mat	0.933973265	59.21	66.59	58.76	48.99	46.86	37.16	37.78	34.31	8.66	11.7	5.72	6.7	54.16	81.21	59.76	58.79	48.34	46.91	25.36	41.51	4.82	16.03	6.71	4.15																																																
bora	3L	18615793	18617855	mat	1.01271512	82.22	95.94	84.19	96.95	92.8	89.09	94.21	112.95	122.52	133.24	101.24	110.28	74.67	107.2	86.46	94.28	90.23	112.64	93.68	109.01	93.84	129.59	114.1	71.71																																																
borr	2L	9251471	9253116	mat	0.932820977	193.53	254.15	222.77	250.9	268.74	312.84	314.78	283.74	363.55	318.71	335.26	353.88	209.96	336.12	248.94	239.28	289.83	310.27	328.02	291.49	323.25	318.77	377.27	297.31	193.53	254.15	222.77	250.9	268.74	311.46	311.81	282.21	346.17	312.94	296.47	314.37	209.96	336.12	247.94	237.67	288.2	310.27	324.85	290.07	303.8	299.01	323.57	287.53	0	0	0	0	0	1.38	2.97	1.53	17.38	5.77	38.79	39.51	0	0	1	1.61	1.63	0	3.17	1.42	19.45	19.76	53.7	9.78
boss	3R	21787715	21792670		0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
botv	2R	15017098	15021223	mat	1.004863621	25.14	20.85	30.8	20.37	34.92	21.1	16.78	38.25	39.75	48.8	46.12	56.86	26.96	20.68	27.96	34.63	27.71	33.23	19.54	36.75	40.72	44.65	35.03	31.5																																																
bou	X	6880522	6881236	zyg	1.125718772	7.06	17.44	10.76	16.19	7.72	7.31	12.13	8.4	60.47	39.65	67.3	41.06	6	7.73	9.54	8.7	7.19	7.03	13.04	14.54	59.95	24.57	54.37	60.68																																																
bowl	2L	3771705	3784129	zyg	0.980312073	0	0.05	0	0.54	1.65	1	0.86	4.23	9.86	7.5	10.35	14.94	0	0	0.06	0.07	1.07	1.61	1.54	1.65	9.46	7.34	11.04	8.53																																																
br	X	1506373	1553962		0.733915806	0.25	0.28	0.18	0.29	0.25	0.1	0.08	0.14	0.2	0.31	0.09	0.17	0.16	0.56	0.26	0.27	0.14	0.24	0.05	0.21	0.03	0.13	0.03	0.22																																																
brat	2L	19133805	19172572	mat	0.997004402	193.39	181.33	177.83	27.46	9.63	4.79	7.35	23.04	41.08	59	42.29	65.98	182.45	223.03	96.01	53.16	11	9.88	9.74	9.06	28.16	43.95	36.94	27.49	192.58	181.33	177.83	27.46	9.06	0	6.74	18.65	35.65	36	23.9	37.84	182.45	223.03	95.36	53.16	9.9	8.74	0	0	12.8	21.98	19.84	15.21	0.81	0	0	0	0.57	0	0.61	4.39	5.43	23	18.39	28.14	0	0	0.65	0	1.1	1.14	0	0	15.36	21.98	17.1	12.28
Brca2	2R	20413722	20417104	matzyg	1.138136646	7.78	0.99	1.17	0.27	0.37	0.06	0.2	0.11	2.26	1.27	3.87	3.45	6.01	0.95	0.63	0.37	0.24	0.33	0.12	0.23	3.88	1.65	2.51	3.46																																																
Brd	3L	14965768	14966301	zyg	0.859499024	4.07	46.51	100.82	99.15	24.71	37.33	27.58	24.44	199.07	169.89	357.13	245.11	21.49	33.65	82.91	89.34	30.98	27.31	46.7	40.8	324.48	133.78	341.1	396.57	0	20.83	60.01	46.14	10.59	18.66	9.93	10.29	104.33	79.85	165.27	106.17	9.55	0	20.73	51.79	14.58	16.14	24.58	16.51	143.68	65.86	170.02	180.92	0	25.68	40.81	53.01	14.12	18.66	17.65	14.15	94.74	90.04	191.86	138.94	11.94	0	62.18	37.55	16.4	11.17	22.12	24.29	180.8	67.92	171.08	215.65
Brd8	3R	25049212	25051998	mat	1.018415601	36.14	46.53	42.58	42.94	42.3	34.62	41.53	52.58	57.23	66.64	64.17	73.73	35.73	50.3	43.66	45.07	39.45	43.81	41.06	45.24	53.95	59.08	58.56	48.31	36.14	46.53	42.58	42.27	41.15	34.11	40.72	50.67	43.44	55.88	48.05	57.12	35.43	50.3	43.22	45.07	38.51	43.6	38.32	44.82	40.02	51.01	41.08	36.95	0	0	0	0.67	1.15	0.51	0.81	1.91	13.79	10.76	16.12	16.61	0.3	0	0.44	0	0.94	0.21	2.74	0.42	13.93	8.07	17.48	11.36
Bre1	3L	5783273	5787291	mat	0.995257694	111.42	120.92	152.87	132.49	143.57	118.36	112.96	230.73	138.66	198.29	126.14	139.31	141.92	135.16	145.25	159.86	136.13	157.87	108.37	180.99	96.71	179.91	88.6	69.48	111.42	120.92	152.87	132.49	141.39	115.64	112.96	225.43	129.31	191.89	111.64	127.25	139.92	135.16	145.25	157.96	134.45	157.87	106.01	178.02	81.07	174.4	82.09	63.16	0	0	0	0	2.18	2.72	0	5.3	9.35	6.4	14.5	12.06	2	0	0	1.9	1.68	0	2.36	2.97	15.64	5.51	6.51	6.32
Brf	3R	13200554	13217054	mat	1.023686037	34.34	32.17	45.54	32.22	32.37	25.93	23	39.02	24.4	34.4	20.64	21.17	36.9	34.39	35.31	39.76	32.97	36	18.47	39.26	16.1	32.82	15.02	9.62	34.34	32.17	45.54	32.22	31.94	25.57	23	38.54	24.07	34.4	20.41	19.97	36.9	34.39	35.31	39.76	32.97	36	18.47	38.07	15.73	32.03	14.06	8.96	0	0	0	0	0.43	0.36	0	0.48	0.33	0	0.23	1.2	0	0	0	0	0	0	0	1.19	0.37	0.79	0.96	0.66
brk	X	7201973	7205645	zyg	1.204249992	0.1	0.04	0.42	2.25	7.51	7.35	19.29	36.34	28.02	38.25	27.62	27.14	0.02	0.13	0.61	1.91	8	5.54	17.15	15.43	19.57	27.79	24.51	14.98	0	0	0	0	3.75	0	12.4	14.28	16.89	18.45	10.31	27.14	0	0	0	0	8	0	17.15	15.43	19.57	27.79	24.51	14.98	0	0	0	0	3.75	0	6.89	22.06	11.13	19.8	17.31	0	0	0	0	0	0	0	0	0	0	0	0	0
brm	3L	15963183	15975969	mat	0.971487016	101.87	86.54	123.55	93.34	99.04	97.07	79	193.96	141.89	204.2	147.37	198.51	111.23	110.84	122.96	140.44	91.44	129.8	79.15	140.05	117.48	173.37	113.4	97.07	101	86.54	122.23	93.34	99.04	97.07	79	191.83	130.27	196.7	144.67	195.69	111.23	110.84	122.34	140.44	91.44	129.8	79.15	139.22	106.55	171.25	105.49	89.05	0.87	0	1.32	0	0	0	0	2.13	11.62	7.5	2.7	2.82	0	0	0.62	0	0	0	0	0.83	10.93	2.12	7.91	8.02
brn	X	3998376	3999830	mat	1.031959555	16.27	19.56	14.98	14.6	13.96	8.1	11.8	8.5	8.56	6.89	10	7.71	12.08	22.3	16.02	11.1	14.32	11.85	9.64	10.73	6.72	5.92	9.28	9.11																																																
Bro	3L	1647868	1648613	zyg	1.086625022	2.82	39.22	111.14	422.86	653.83	576.88	573.38	375.4	168.67	214.22	129.72	105.5	12.83	50.24	126.91	297.09	620.22	688.3	563.05	630.07	99.74	258.86	92.5	84.04	0	20.64	72.33	258.96	393.8	292.52	279.67	177.41	77.77	141.76	50.6	65.16	4.28	24.12	89.65	189.17	310.96	438.66	284.86	305.46	52.64	154.78	45.75	50.1	0	18.58	38.81	163.9	260.03	284.36	293.71	197.99	90.9	72.46	79.12	40.34	8.55	26.12	37.26	107.92	309.26	249.64	278.19	324.61	47.1	104.08	46.75	33.94
brp	2R	5391292	5424980	zyg	2.20754717	0	0.02	0	0	0.03	0	0.04	0.01	0.13	0.05	0.09	0.11	0	0	0	0	0.01	0	0	0	0.06	0.06	0.04	0.03																																																
bru	2L	20650754	20656176	mat	0.927178784	45.44	33.04	50.73	26.62	13.31	5.12	4.85	7.26	1.42	2.31	1.42	3.35	48.69	39.18	41.1	39.8	14.49	12.63	2.46	9.82	1.62	2.21	1.14	1.66	45.44	33.04	50.73	26.62	13.31	0	0	0	0	0	0	0	48.69	0	41.1	39.8	14.49	12.63	0	9.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bru-2	2L	12344380	12397534	zyg	0.7002457	0	0	0	0.03	0	0	0	0	0.11	0.07	0.11	0.21	0	0.02	0.03	0.07	0	0	0.05	0	0.16	0.07	0.08	0.11																																																
bru-3	3L	13531017	13659849	zyg	3.163435956	0.18	0	0	0	0.24	0.6	0.73	0.25	3.28	2.39	0.49	2.87	0.03	0	0	0.05	0.28	0.22	0.06	0.05	0.16	0.75	0.39	1.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85
Bruce	3R	6138365	6157071	mat	0.985539692	28.26	16.53	24.34	3.41	1.44	0.44	0.46	1.58	3.08	5.09	4.83	8.92	31.32	16.28	14.26	10.44	1.11	1.18	0.35	1.05	4.15	3.47	4.27	3.69	28.26	16.53	24.34	3.41	0	0	0	1.39	2.17	2.63	2.7	4.39	31.32	16.28	14.26	10.44	0	0	0	0	2.89	2.6	2.61	2.52	0	0	0	0	0	0	0	0.19	0.91	2.46	2.13	4.53	0	0	0	0	0	0	0	0	1.26	0.87	1.66	1.17
BRWD3	3R	20144740	20154341	mat	0.886804729	74.4	61.47	79.5	58.88	60.87	54	52.47	138.92	53.12	121.22	43.08	67.77	71.64	89.24	90.08	85.06	55.74	83.25	46.13	87.06	37.59	93.04	39.21	31.97																																																
bs	2R	20231235	20263998	mat	0.955454707	46.91	55.4	42.78	18.01	3.28	2.13	3.07	2.18	2.44	1.66	2.89	4.15	38.19	66.77	35.41	24.64	6.44	4.28	2.51	2.49	2.47	1.52	3.42	2.02																																																
bsf	2L	18449513	18454587	matzyg	0.77003963	23.3	14.04	12.93	3.46	1.74	0.73	0.74	1.54	7.38	4.7	12.08	16.43	35.43	12.26	10.23	5.19	0.96	1.41	0.58	1.25	10.96	4.14	9.03	10.36	22.44	0	0	0	0	0	0	0	0	0	3.02	6.77	35.43	0	10.23	0	0	0	0	0	0	0	0	0	0.86	0	0	0	0	0	0	0	0	0	9.06	9.66	0	0	0	0	0	0	0	0	0	0	0	0
Bsg	2L	8083421	8109458	mat	1.046385781	60.5	31.53	92.04	68.61	88.29	71.16	35.31	116.04	60.96	103.57	78.99	78.22	72.71	24.62	67.84	88.06	77.57	78.05	40.12	96.33	59.51	102.32	45.46	54.88	60.5	31.53	92.04	68.61	88.29	71.16	35.31	114.76	57.98	99.45	74.41	71.62	72.71	24.62	67.53	88.06	77.57	76.85	39.36	95.95	54.42	98.87	44.18	50.7	0	0	0	0	0	0	0	1.28	2.98	4.12	4.58	6.6	0	0	0.31	0	0	1.2	0.76	0.38	5.09	3.45	1.28	4.18
Bsg25A	2L	4683049	4684459	zyg	1.000619134	0.42	22.81	103.38	463.85	1031.29	959.18	882.1	988.05	444.16	772.62	244.51	276.77	5.87	25.83	127.23	353.81	878.02	915.47	1078.43	1128.48	239.05	790.51	268.02	201.09	0	9.12	48	216.06	1027.03	959.18	453.91	407.65	163.05	359.47	64	57.17	0	15.07	127.23	178.32	451.25	415.09	584.23	598.28	60.41	378.15	35.86	55.14	0	13.69	55.38	247.79	4.26	0	428.19	580.4	281.11	413.15	180.51	219.6	0	10.76	0	175.49	426.77	500.38	494.2	530.2	178.64	412.36	232.16	145.95
Bsg25D	2L	5273826	5277338	matzyg	0.874786892	64.43	81.33	139.48	261.6	577.45	758.41	964.12	1337.61	668.87	1347.18	468.74	435.2	76.58	106.3	130.81	255.03	640.73	752.7	1279.85	1196.73	404.89	1159.84	393.22	207.87	64.43	76.14	124.26	162.37	320.81	397.85	498.79	667.39	354.41	675.71	234.37	228.08	76.58	106.3	91.05	170.02	368.81	373.22	648.92	675.77	231.37	589.45	225.04	113.94	0	5.19	15.22	99.23	256.64	360.56	465.33	670.22	314.46	671.47	234.37	207.12	0	0	39.76	85.01	271.92	379.48	630.93	520.96	173.52	570.39	168.18	93.93
bsh	2L	19766119	19768712	zyg	0.5	0	0	0	0	0	0	0	0	0	0	0.04	0.09	0	0	0	0	0.04	0	0	0	0	0	0.04	0																																																
bsk	2L	10247501	10249742	matzyg	0.995128354	5.9	1.23	4.58	2.92	1	1.24	0.46	1.83	5.77	4.1	11.11	12.33	6.18	0.91	4.17	1.93	1.71	0.96	0.88	1.67	8.37	3.91	8.83	11.03	5.9	0	4.58	0	0	0	0	0	4.44	0	5.72	7.31	6.18	0	4.17	0	0	0	0	0	4.37	0	2.86	5.06	0	0	0	0	0	0	0	0	1.33	0	5.39	5.02	0	0	0	0	0	0	0	0	4	0	5.97	5.97
bt	4	745029	796707	matzyg	0.8625	0.03	0.01	0.02	0.02	0.02	0.01	0	0.04	0.06	0.04	0.05	0.1	0.05	0	0.02	0.05	0.01	0.04	0	0.01	0.03	0.04	0.04	0.04																																																
BtbVII	3L	3148674	3154817	mat	0.794350048	141.81	146.69	134.05	91.85	18.07	9.63	13.5	14.12	28.6	33.55	32.85	38.64	133.59	221.84	149.34	122.36	34.03	28.99	8.49	19.09	26.83	26.64	34.6	21.42																																																
Btd	X	6111512	6113327		0	0	0	0.03	0.28	0	0	0.03	0.04	0.09	0.07	0	0.04	0	0	0	0	0.12	0.1	0	0.07	0	0.06	0.03	0																																																
btd	X	9588220	9591606	zyg	1.059800128	0.05	0.08	2.53	4.14	4.6	3.25	10.89	22.59	16.94	19.95	13.79	13.13	0.17	0.29	1.31	2.31	3.68	3.77	12.94	8.53	9.93	14.1	15.19	7.38																																																
Bteb2	X	4664588	4665550	zyg	1.390763431	0	0	0	0	0	0.05	0.11	0.19	0.58	0.26	0.85	0.51	0	0	0	0	0	0	0	0	0.51	0.16	0.52	0.41																																																
BthD	X	13506146	13507261	mat	1.032220664	110.55	128.95	155.78	215.68	137.41	139.87	121.39	154.26	122.72	115.58	128.82	88.7	160.83	105.82	140.63	180.81	147.64	135.01	135.46	154.69	105.56	113.16	87.94	104.09																																																
Btk29A	2L	8259503	8301072	mat	0.968998937	113.98	97.08	137.97	104.98	143	108.51	94.05	194.9	95.79	165.5	81.01	97.5	130.41	99.61	132.94	144.4	134.76	145.81	91.6	164.18	59.41	155.3	69.3	53.3	113.98	97.08	137.97	104.98	140.92	104.34	93.29	191.74	59.69	136.48	46.33	49.27	130.41	99.61	132.94	143.95	133.82	141.06	87.94	159.98	32.59	133.01	40.81	31.63	0	0	0	0	2.08	4.17	0.76	3.16	36.1	29.02	34.68	48.23	0	0	0	0.45	0.94	4.75	3.66	4.2	26.82	22.29	28.49	21.67
btl	3L	14068871	14075985	zyg	0.530901288	0	0	0	0	0.77	0.95	0.53	1.83	0.86	1.46	0.96	2.33	0	0	0	0	0.78	0.98	1.02	1.39	1.44	1.75	2.16	1.71	0	0	0	0	0	0	0	0	0	0	0	0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0
btn	3R	18411870	18412347		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43	0	0																																																
